ticker,posts,lastPosts,likes,lastLikes,comments,lastComments,impressions,lastImpressions,rank,name,price,change,changePercent,volume,marketCap
BTC-USD,2356,2612,3677,3229,806,841,1631415,1888306,1,bitcoin,41145,2022.57,0.0516979,28915465189,777840514332
SHIB-USD,734,592,2247,1578,406,350,236098,124016,2,shiba-inu,0.00002252,7.58861e-7,0.0348658,510669900,12386625693
DOGE-USD,725,643,1963,1305,385,331,148849,125240,3,dogecoin,0.118141,0.00549902,0.0488187,429976412,15637939243
ETH-USD,385,392,737,584,146,167,757562,501851,4,ethereum,2764.19,143.86,0.0549016,15317203806,331434227031
XRP-USD,188,130,451,254,162,169,148902,141302,5,ripple,0.793613,0.0328271,0.043148900000000004,3924728067,38130624682
LUNA-USD,147,133,268,381,149,168,222080,224813,6,terra-luna,88.28,0.588622,0.0067123999999999994,2070308168,32288442471
ETC-USD,72,64,206,147,23,12,5539,12977,7,ethereum-classic,27.11,1.34,0.051926,298971663,3631503715
ACH-USD,57,48,159,96,38,32,9836,828,8,alchemy-pay,0.04062612,0.00192069,0.049623299999999995,9024694,168171774
ADA-USD,93,98,158,138,34,50,133217,116581,9,cardano,0.85133,0.054084,0.0678385,932427750,26780995561
VGX-USD,64,169,155,424,101,229,5163,12284,10,ethos,2.73,0.159447,0.0619723,2665934,55366667
SOL-USD,61,50,155,108,31,23,137189,45025,11,solana,88.13,6.38,0.0780738,1806804634,28136699658
ONE-USD,53,29,121,54,52,18,13803,8606,12,menlo-one,0.130694,0.00773373,0.0628963,78143324,1546226068
LINK-USD,33,37,114,92,11,9,18886,27740,13,chainlink,14.55,0.819128,0.0596661,697411059,6789136635
DOT-USD,46,32,101,62,8,10,56403,46282,14,polkadot,19.14,1.078,0.0596554,787530650,20751431579
BNB-USD,43,32,100,213,16,22,128823,17273,15,binancecoin,387.54,18.59,0.0503898,1369881303,64600061863
FEG-USD,14,12,91,70,27,3,906,670,16,feg-token,3.699e-9,-1e-11,-0.002636,943869,151213469
SAFEMOON-USD,40,18,84,57,34,15,1036,368,17,safemoon,5.12333e-7,2.5165e-8,0.05165670000000001,4007.53,277800683
ATOM-USD,30,23,66,64,22,31,23255,12689,18,cosmos,28.36,1.7,0.0637161,751587490,8263082619
AVAX-USD,47,41,49,59,18,40,58521,56929,19,avalanche-2,76.21,7.83,0.1144591,1042948949,19997164034
VET-USD,19,17,37,46,8,11,1840,105,20,vechain,0.04840596,0.00278494,0.0610452,271543807,3209092321
GALA-USD,30,20,34,50,2,12,9986,255,21,gala,0.228909,0.01353302,0.0628343,665293698,1782633699
SOUL-USD,8,3,16,16,6,3,30230,185,22,apoyield,0.03249937,0.00186489,0.0608755,30204,1256894
MTV-USD,2,2,12,3,3,5,67,12,23,multivac,0.00591037,0.00022807,0.040136399999999996,3512680,20940828
SLP-USD,5,4,10,17,3,1,25,17,24,smooth-love-potion,0.01774825,0.0017564,0.1098311,168557740,622264013
CSPR-USD,3,1,8,2,1,0,298,9,25,casper-network,0.062734,0.0042819,0.0732555,8659466,262666096
COTI-USD,5,1,6,3,2,0,121,28,26,coti,0.204443,0.01413404,0.074269,14423826,213138772
ALICE-USD,1,1,3,2,0,1,10,651,27,my-neighbor-alice,6.17,0.499116,0.088041,101955283,107717476
RARI-USD,7,5,2,3,1,6,89,101,28,rarible,6.81,0.378437,0.058795,396167,45025823
CAKE-USD,5,5,2,3,7,1,8483,40,29,pancakeswap-token,5.68,0.287664,0.053383900000000005,102414435,1539706690
SYS-USD,3,0,1,0,0,0,2,0,30,syscoin,0.470374,0.01662755,0.036645,10557524,298305816
CASH-USD,1,0,0,0,0,0,15,0,31,litecash,0.00124956,-0.00030315863,-0.1952438,559.17,345689
YFI-USD,3,3,0,4,2,8,157,287,32,yearn-finance,19188.91,875.79,0.0478231,81589126,683146498
1INCH-USD,4,2,0,2,0,0,17295,439,33,1inch,1.48,0.100202,0.07245650000000001,110068914,615731022
OCEAN-USD,1,0,0,0,0,0,55,0,34,ocean-protocol,0.465663,0.01365798,0.0302165,19282909,202889677
